Scientific_name,Order,Migratory01,CA,NB,CO,Nlat,Clutchsize,Clutchnum,Annfecund,avg_mass,open_fw,Dietsum,Foragesum,Bio1_mean,Bio1_std,Flight_rank,Wingload,Rangekm2,Signif_shift2
Laterallus_jamaicensis,Gruiformes,1,-1.01,2.94,1.8,38.1333,6.9,1.5,10.35,32.725,0,3,2,18.395,3.623171851,2,0.079962615,530413.5166,1
Leucosticte_atrata,Passeriformes,1,1.1,-3.31,-2.72,45.0333,4.75,1,4.75,24.78,0,NA,NA,5.425653846,2.721874035,3,NA,971165.2751,0
Leucosticte_australis,Passeriformes,0,2.37,-3.22,-1.45,40.3667,4.14,1,4.14,29.325,0,NA,NA,5.058928571,2.397720837,3,NA,178365.5353,0
Limnodromus_scolopaceus,Charadriiformes,1,-3.28,2.23,-0.29,49.2667,4,1,4,108.5,1,3,1,16.61828471,4.054737763,3,0.067963671,9693507.013,1
Lophodytes_cucullatus,Anseriformes,1,-6.22,4.15,-1.6,50.5167,10.3,1,10.3,617,1,2,1,12.39754591,4.417016916,2,0.148416098,8843780.018,1
Melanerpes_aurifrons,Piciformes,0,-4.48,4.66,-0.52,34.9833,4.75,1,4.75,81.64,0,3,3,20.38397895,2.816038635,3,0.057860576,1393664.33,1
Melanerpes_carolinus,Piciformes,0,5.98,3.11,1.17,48.2,4.18,1,4.18,59.5,0,4,3,12.37217209,4.302887461,3,0.057860576,2989299.115,1
Melanerpes_erythrocephalus,Piciformes,1,-1.62,-0.63,0.49,46.9333,5,2,10,71.6,0,5,4,12.43865573,4.302661061,3,0.057860576,5195386.626,0
Melanerpes_formicivorus,Piciformes,0,-0.46,-0.42,-0.58,44.95,5.06,1,5.06,79.05,0,5,3,14.17499839,2.761317805,3,0.057860576,1465658.783,0
Melanerpes_lewis,Piciformes,1,-5.25,-1.87,-5.69,49.5333,6.5,1,6.5,102,0,3,3,12.10538431,3.221038711,3,0.057860576,3401457.74,0
Melanerpes_uropygialis,Piciformes,0,0.4,-0.13,-0.23,34.8333,4,1.5,6,67.8,0,5,2,17.66615,4.183195965,3,0.057860576,565072.3397,0
Melospiza_georgiana,Passeriformes,1,-0.65,12.13,-0.22,48.8167,3.9,1,3.9,17,0,2,1,12.69825118,4.365881481,3,0.090568343,10232457.27,1
Melospiza_lincolnii,Passeriformes,1,2.63,1.45,1.44,49.2667,4.24,1,4.24,18.3,0,2,1,15.53179725,3.769347264,3,0.094031925,16091946.75,1
Melospiza_melodia,Passeriformes,1,0.32,0.95,0.49,51.05,4.1,2,8.2,24.2,0,2,2,11.69535801,4.470129704,3,0.090767912,13004269.44,1
Mergus_merganser,Anseriformes,1,4.48,3.91,3.03,53.5167,10.5,1,10.5,1523,1,2,1,10.47,3.564766632,2,0.15156393,12608731.71,1
Mimus_polyglottos,Passeriformes,0,-1.6,1.95,-0.26,49.2667,3.7,2.5,9.25,48.95,0,2,2,13.04521381,4.386478526,3,0.083596861,10313600.74,1
Mniotilta_varia,Passeriformes,1,-1.81,6.85,0.24,43.2167,4.5,NA,NA,12,0,1,2,19.24218025,3.784608813,3,0.067535873,12079526.82,1
Molothrus_aeneus,Passeriformes,1,0.99,-1.88,0.52,32.3333,NA,NA,NA,62.9,0,2,1,21.79696364,1.633746835,3,0.076326361,2391094.636,0
Molothrus_ater,Passeriformes,1,-9.32,5.58,-3.22,49.2667,NA,NA,NA,NA,0,2,1,12.22422048,4.501935011,3,0.076326361,11999978.7,1
Mycteria_americana,Ciconiiformes,0,2.37,-2.53,0.36,31.4333,2.5,1,2.5,2377.5,0,3,1,22.04874348,1.305831665,5,NA,14864809.74,0
Myiarchus_cinerascens,Passeriformes,1,-1.06,4.33,-3.2,44.5833,4.3,1,4.3,27.95,0,2,3,18.00774286,2.911537319,3,NA,4278514.14,1
